timestamp,quality_score,channels,std_dev_mult,cmf_length,cmf_buy_threshold,cmf_sell_threshold,buy_threshold,sell_threshold,total_return_pct,total_trades,win_rate_pct,profit_factor,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown_pct,avg_profit_pct,avg_loss_pct,profit_loss_ratio,max_consecutive_losses,max_consecutive_wins,avg_trade_duration,expectancy
2025-10-26 20:59:18,0.9845,"(2, 2, 2, 12)",5.0000,112,-0.1500,0.2500,60,40,0.0002,32,62.5000,3.5460,2.1799,8.8474,3.4021,-0.0001,5.1639,-1.7932,2.8798,4,8,1062.3438,2.5550
2025-10-26 20:59:18,0.9899,"(2, 2, 2, 12)",5.0000,112,-0.1500,0.2500,65,30,0.0002,32,65.6250,3.7135,2.3068,8.8257,3.9701,-0.0001,4.8521,-1.8672,2.5985,3,8,1066.0000,2.5423
2025-10-26 20:59:18,0.9902,"(2, 2, 2, 12)",5.0000,112,-0.1500,0.2500,65,35,0.0002,32,65.6250,3.8856,2.2915,9.4288,4.0809,-0.0001,5.1447,-1.8627,2.7620,3,8,1078.2188,2.7359
2025-10-26 20:59:18,0.9895,"(2, 2, 2, 12)",5.0000,112,-0.1500,0.2500,65,40,0.0002,32,65.6250,3.8282,2.2785,9.1435,3.9755,-0.0001,5.1469,-1.8854,2.7299,3,8,1077.3438,2.7296
2025-10-26 20:59:18,0.9892,"(2, 2, 2, 12)",5.0000,112,-0.1500,0.2500,70,30,0.0002,30,63.3333,3.5741,2.2667,9.0687,3.9473,-0.0000,5.3214,-1.9369,2.7474,3,8,1140.3667,2.6600
2025-10-26 20:59:18,0.9898,"(2, 2, 2, 12)",5.0000,112,-0.1500,0.2500,70,35,0.0002,30,63.3333,3.7493,2.2541,9.7230,4.0568,-0.0001,5.6336,-1.9214,2.9321,3,8,1153.0333,2.8634
2025-10-26 20:59:18,0.9890,"(2, 2, 2, 12)",5.0000,112,-0.1500,0.2500,70,40,0.0002,30,63.3333,3.6884,2.2408,9.4061,3.9502,-0.0001,5.6405,-1.9514,2.8905,3,8,1152.1000,2.8568
2025-10-26 20:59:31,0.9843,"(2, 2, 2, 14)",5.0000,112,-0.1500,0.2500,60,40,0.0002,31,64.5161,3.5688,2.1609,8.8205,3.5512,-0.0001,5.1944,-1.9708,2.6357,3,8,1105.4839,2.6519
2025-10-26 20:59:31,0.9836,"(2, 2, 2, 14)",5.0000,112,-0.1500,0.2500,65,40,0.0002,31,64.5161,3.6364,2.1694,8.9098,3.5789,-0.0001,5.1535,-2.0893,2.4666,3,8,1106.3548,2.5835
2025-10-26 20:59:31,0.9849,"(2, 2, 2, 14)",5.0000,112,-0.1500,0.2500,70,40,0.0002,31,67.7419,3.7957,2.2044,9.3777,3.9923,-0.0001,5.1088,-2.0758,2.4611,3,8,1113.6129,2.7912
2025-10-26 20:59:43,0.9869,"(2, 2, 2, 16)",5.0000,112,-0.1500,0.2500,60,35,0.0002,30,63.3333,3.8515,2.1736,10.4878,3.8936,-0.0000,5.3059,-1.7586,3.0171,3,7,1121.9333,2.7156
2025-10-26 20:59:43,0.9852,"(2, 2, 2, 16)",5.0000,112,-0.1500,0.2500,60,40,0.0002,30,63.3333,3.6946,2.1472,10.5096,3.6622,-0.0001,5.2648,-1.8196,2.8934,3,7,1122.3333,2.6672
2025-10-26 20:59:43,0.9812,"(2, 2, 2, 16)",5.0000,112,-0.1500,0.2500,65,35,0.0002,30,63.3333,3.6113,2.0859,8.6585,3.5201,-0.0001,5.1995,-1.9849,2.6195,3,7,1132.4667,2.5652
2025-10-26 20:59:43,0.9809,"(2, 2, 2, 16)",5.0000,112,-0.1500,0.2500,65,40,0.0002,30,63.3333,3.4577,2.0592,8.5388,3.2949,-0.0001,5.1628,-1.8729,2.7566,3,7,1132.8667,2.5830
2025-10-26 20:59:43,0.9810,"(2, 2, 2, 16)",5.0000,112,-0.1500,0.2500,70,35,0.0002,30,63.3333,3.6433,2.0736,8.5144,3.5345,-0.0001,5.2005,-1.9454,2.6732,3,7,1130.3333,2.5804
2025-10-26 20:59:55,0.9914,"(2, 2, 2, 18)",5.0000,72,-0.2000,0.2500,80,40,0.0001,44,61.3636,2.3640,2.3486,6.8110,1.9870,-0.0001,3.0809,-1.7794,1.7314,4,6,688.9318,1.2030
2025-10-26 20:59:55,0.9834,"(2, 2, 2, 18)",5.0000,88,-0.2000,0.0500,60,15,0.0001,53,69.8113,3.0087,2.8402,4.3160,4.4423,-0.0000,1.1943,-0.8943,1.3355,2,8,115.6604,0.5638
2025-10-26 20:59:55,0.9836,"(2, 2, 2, 18)",5.0000,88,-0.2000,0.0500,60,20,0.0001,58,67.2414,2.9409,2.8558,4.2243,5.1111,-0.0000,1.1471,-0.7772,1.4760,3,6,118.0172,0.5167
2025-10-26 20:59:55,0.9813,"(2, 2, 2, 18)",5.0000,88,-0.2000,0.0500,60,25,0.0001,61,63.9344,2.7944,2.7712,3.8832,4.3415,-0.0000,1.1503,-0.7030,1.6362,4,6,116.7869,0.4819
2025-10-26 20:59:55,0.9805,"(2, 2, 2, 18)",5.0000,96,-0.2000,0.1000,60,25,0.0001,44,54.5455,2.8222,2.2128,5.8926,4.4830,-0.0000,1.6471,-0.7282,2.2618,3,4,180.7955,0.5674
2025-10-26 20:59:55,0.9875,"(2, 2, 2, 18)",5.0000,96,-0.2000,0.1000,80,20,0.0001,38,57.8947,3.0551,2.3812,5.7769,4.0324,-0.0000,1.6062,-0.7845,2.0474,5,4,235.1316,0.5996
2025-10-26 20:59:55,0.9911,"(2, 2, 2, 18)",5.0000,96,-0.2000,0.1000,80,25,0.0001,41,58.5366,3.1977,2.4471,5.3555,4.3829,-0.0000,1.4908,-0.6766,2.2035,4,4,227.2683,0.5921
2025-10-26 20:59:55,0.9859,"(2, 2, 2, 18)",5.0000,96,-0.2000,0.1500,75,25,0.0001,39,64.1026,2.9592,2.6530,5.0546,2.9283,-0.0000,1.6318,-0.8575,1.9029,5,6,291.8718,0.7382
2025-10-26 20:59:55,0.9836,"(2, 2, 2, 18)",5.0000,96,-0.2000,0.1500,80,20,0.0001,36,66.6667,2.9807,2.7052,5.3373,3.3012,-0.0000,1.6976,-1.0913,1.5556,4,6,320.8889,0.7680
2025-10-26 20:59:55,0.9890,"(2, 2, 2, 18)",5.0000,96,-0.2000,0.1500,80,25,0.0001,38,65.7895,3.1269,2.7336,4.8853,3.6435,-0.0000,1.6237,-0.8863,1.8321,5,6,311.3421,0.7651
2025-10-26 20:59:55,0.9825,"(2, 2, 2, 18)",5.0000,96,-0.2000,0.1500,85,25,0.0001,36,66.6667,2.9480,2.5090,4.2230,3.0863,-0.0000,1.6122,-1.0546,1.5288,5,9,346.6944,0.7233
